entity_id,entity_name,model_id,template,is_refusal,score,cohort
imo_bogdan_veklych,"Bogdan Veklych",gpt-5.3,T0,1,0.0000,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",gpt-5.4,T0,0,0.7000,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",grok-4.20-think,T0,1,0.0000,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",gemini-3-flash-think,T0,0,0.5600,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",claude-opus-4.6-think,T0,0,0.7000,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",kimi-k2,T0,1,0.0000,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",gpt-5.5-think,T0,0,0.5000,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",claude-sonnet-4.6-think,T0,0,0.0000,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",glm-4-32b,T0,1,0.0000,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",kimi-k2.6-think,T0,1,0.0000,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",gemini-3.1-pro,T0,0,0.2800,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",qwen3-235b-a22b-think,T0,1,0.0000,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",llama-4-maverick,T0,0,0.5000,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",mistral-large,T0,0,0.0000,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",mistral-medium-3.1,T0,0,0.0000,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",gemini-2.5-pro-think,T0,0,0.4900,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",grok-4,T0,0,0.7000,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",deepseek-v4-flash-think,T0,0,0.5000,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",llama-3.3-70b,T0,0,0.6000,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",gemma-4-31b,T0,0,0.3500,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",phi-4,T0,0,0.2000,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",llama-3.1-8b,T0,0,0.6000,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",llama-3.2-1b,T0,0,0.5000,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",mistral-small-24b,T0,0,0.5000,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",qwen3-8b-think,T0,0,0.0000,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",qwen3-32b-think,T0,0,0.0000,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",glm-5.1-think,T0,1,0.0000,imo_gold
imo_bogdan_veklych,"Bogdan Veklych",deepseek-v4-pro-think,T0,0,0.4900,imo_gold
